date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:46	17022/17022	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:24%20GMT	http://sbtechnosoft.com/foundation/service-details.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/service-details.html	(from http://sbtechnosoft.com/foundation/)
15:45:46	11181/11181	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:24%20GMT	http://sbtechnosoft.com/foundation/projects.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/projects.html	(from http://sbtechnosoft.com/foundation/)
15:45:46	15146/15146	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:28%20GMT	http://sbtechnosoft.com/foundation/blog.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/blog.html	(from http://sbtechnosoft.com/foundation/)
15:45:47	20790/20790	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:30%20GMT	http://sbtechnosoft.com/foundation/blog-details.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/blog-details.html	(from http://sbtechnosoft.com/foundation/)
15:45:48	13540/13540	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:28%20GMT	http://sbtechnosoft.com/foundation/contact-us.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/contact-us.html	(from http://sbtechnosoft.com/foundation/)
15:45:50	3803/3803	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:22%20GMT	http://sbtechnosoft.com/foundation/images/callout-icon1.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/callout-icon1.png	(from http://sbtechnosoft.com/foundation/)
15:45:51	5128/5128	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:22%20GMT	http://sbtechnosoft.com/foundation/images/callout-icon2.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/callout-icon2.png	(from http://sbtechnosoft.com/foundation/)
15:45:52	2628/2628	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:22%20GMT	http://sbtechnosoft.com/foundation/images/callout-icon3.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/callout-icon3.png	(from http://sbtechnosoft.com/foundation/)
15:45:53	4685/4685	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:20%20GMT	http://sbtechnosoft.com/foundation/images/callout-icon4.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/callout-icon4.png	(from http://sbtechnosoft.com/foundation/)
15:45:54	3662/3662	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:20%20GMT	http://sbtechnosoft.com/foundation/images/callout-icon5.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/callout-icon5.png	(from http://sbtechnosoft.com/foundation/)
15:45:56	8098/8098	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:20%20GMT	http://sbtechnosoft.com/foundation/images/callout-icon6.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/callout-icon6.png	(from http://sbtechnosoft.com/foundation/)
15:46:11	93515/93515	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:38%20GMT	http://sbtechnosoft.com/foundation/images/what-we-do-img1.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/what-we-do-img1.jpg	(from http://sbtechnosoft.com/foundation/)
